,UdoTan GE,Kr1stal GE,Papi GE,kellyS GE,yokam GE
Akame DFM,2 1 +1,2 0 +2,1 0 +1,,0 2 -2
Art DFM,0 1 -1,0 1 -1,,1 0 +1,
Meiy DFM,0 1 -1,0 1 -1,,1 0 +1,2 1 +1
gyen DFM,,1 0 +1,,,0 2 -2
Jinboong DFM,1 1 +0,,,,0 2 -2
