,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinboong DFM,,2 Round 17 yokam kellyS Round 19 UdoTan Papi,2 Round 3 kellyS Papi Kr1stal Round 20 UdoTan kellyS Papi,,,,,,,,59,1,0
Meiy DFM,,3 Round 11 UdoTan kellyS Round 16 UdoTan Papi Round 19 yokam kellyS,,1 Round 1 kellyS yokam Kr1stal UdoTan,,,,,,,45,1,2
Art DFM,,3 Round 15 yokam Kr1stal Round 18 Papi yokam Round 21 Papi kellyS,1 Round 12 UdoTan kellyS Kr1stal,,,,,,,,40,3,0
Akame DFM,,2 Round 22 yokam Papi Round 23 Kr1stal yokam,,,,,1 Round 22 Papi Kr1stal,,,,51,1,1
gyen DFM,,2 Round 18 kellyS UdoTan Round 21 yokam UdoTan,,,,,,,,,39,1,0
UdoTan GE,,3 Round 13 Meiy Akame Round 20 Meiy Art Round 24 Art Akame,1 Round 11 Jinboong gyen Akame,,,,,,,,64,0,1
Kr1stal GE,,1 Round 14 Art gyen,3 Round 8 gyen Meiy Art Round 12 Meiy gyen Akame Round 16 Meiy Jinboong Art,,,,,,,,63,5,0
kellyS GE,,4 Round 7 Meiy gyen Round 9 Art Jinboong Round 15 Art Meiy Round 23 Akame Meiy,1 Round 4 Meiy Art gyen,1 Round 5 Meiy Art gyen Jinboong,,,,,,,55,3,0
Papi GE,,3 Round 12 Jinboong Art Round 14 Akame Meiy Round 15 Jinboong gyen,1 Round 13 Art Jinboong gyen,,,1 Round 12 Art,,,,,33,1,1
yokam GE,,1 Round 9 gyen Akame,1 Round 24 gyen Meiy Jinboong,,,,1 Round 11 Art Meiy,,,,38,0,0
