,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,2 1 +1,1 3 -2,0 1 -1,2 0 +2,1 1 +0
keiko TL,1 0 +1,0 1 -1,1 0 +1,0 2 -2,2 2 +0
Serial TL,3 2 +1,0 1 -1,1 0 +1,0 1 -1,2 2 +0
paTiTek TL,1 1 +0,1 0 +1,,,
kamo TL,6 2 +4,1 1 +0,2 1 +1,1 1 +0,1 2 -1
