,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,2 4 -2,1 8 -7,2 1 +1,2 1 +1,2 1 +1
keiko TL,4 0 +4,4 3 +1,2 3 -1,1 4 -3,3 3 +0
Serial TL,2 2 +0,0 3 -3,1 0 +1,1 3 -2,1 6 -5
paTiTek TL,1 1 +0,0 1 -1,3 2 +1,1 6 -5,0 4 -4
kamo TL,2 0 +2,2 3 -1,3 3 +0,2 5 -3,2 4 -2
