,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,0 1 -1,,,,
keiko TL,0 1 -1,,,1 0 +1,
Serial TL,0 1 -1,,,,
paTiTek TL,0 1 -1,,,,
kamo TL,1 0 +1,1 0 +1,,1 0 +1,1 0 +1
