,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,6 4 +2,3 4 -1,3 2 +1,3 1 +2,5 2 +3
keiko TL,1 1 +0,2 3 -1,4 4 +0,6 4 +2,3 2 +1
Serial TL,1 3 -2,4 4 +0,3 2 +1,4 1 +3,2 1 +1
paTiTek TL,4 1 +3,5 1 +4,5 5 +0,5 2 +3,4 2 +2
kamo TL,4 2 +2,1 4 -3,0 4 -4,1 2 -1,2 4 -2
