,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,4 Round 5 LewN Jamppi Round 14 PROFEK LewN Round 15 LewN sociablEE Round 20 MAGNUM sociablEE,3 Round 7 MAGNUM LewN Jamppi Round 10 MAGNUM Jamppi sociablEE Round 11 PROFEK sociablEE Jamppi,,,,1 Round 10 Jamppi sociablEE,,,,88,0,2
nAts TL,,4 Round 11 MAGNUM LewN Round 12 Jamppi LewN Round 13 PROFEK LewN Round 14 MAGNUM sociablEE,2 Round 3 Jamppi MAGNUM sociablEE Round 20 PROFEK Jamppi LewN,,,,,,,,64,0,0
keiko TL,,4 Round 6 LewN MAGNUM Round 7 PROFEK sociablEE Round 8 sociablEE Jamppi Round 13 MAGNUM sociablEE,1 Round 2 Jamppi MAGNUM sociablEE,,,1 Round 7 sociablEE,,,,,63,2,0
kamo TL,,1 Round 5 PROFEK MAGNUM,,,,,,,,,28,0,0
Serial TL,,3 Round 1 sociablEE Jamppi Round 12 PROFEK sociablEE Round 19 LewN sociablEE,1 Round 4 Jamppi MAGNUM PROFEK,,,1 Round 13 Jamppi,,,,,54,2,0
MAGNUM BBL,,2 Round 4 kamo nAts Round 15 keiko paTiTek,,,,,,,,,49,0,0
PROFEK BBL,,3 Round 6 kamo paTiTek Round 8 keiko nAts Round 10 kamo nAts,1 Round 2 keiko Serial kamo,,,,,,,,65,0,0
sociablEE BBL,,4 Round 7 paTiTek nAts Round 10 Serial keiko Round 13 kamo paTiTek Round 16 kamo nAts,2 Round 9 kamo paTiTek Serial Round 18 kamo paTiTek keiko,,,,,,,,74,1,0
Jamppi BBL,,3 Round 1 paTiTek keiko Round 13 nAts keiko Round 17 Serial keiko,,,,,,,,,35,3,0
LewN BBL,,4 Round 1 nAts Serial Round 11 Serial paTiTek Round 15 kamo nAts Round 18 Serial nAts,,,,,,,,,36,1,0
