,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,9 8 +1,8 13 -5,9 5 +4,10 3 +7,11 5 +6
keiko TL,11 2 +9,8 8 +0,7 10 -3,9 10 -1,9 7 +2
Serial TL,5 7 -2,8 9 -1,6 2 +4,8 6 +2,7 9 -2
paTiTek TL,7 5 +2,7 4 +3,12 10 +2,6 10 -4,5 7 -2
kamo TL,9 2 +7,6 12 -6,7 9 -2,7 8 -1,7 11 -4
