,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,,0 1 -1,0 1 -1,1 0 +1,0 1 -1
keiko TL,1 0 +1,0 1 -1,,0 1 -1,2 0 +2
Serial TL,1 0 +1,,,0 1 -1,2 0 +2
paTiTek TL,,,,,
kamo TL,1 0 +1,1 0 +1,1 0 +1,1 0 +1,
