,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,2 1 +1,0 2 -2,,,
keiko TL,,,,,0 2 -2
Serial TL,1 1 +0,0 1 -1,,,0 1 -1
paTiTek TL,0 1 -1,,,,
kamo TL,1 0 +1,,1 1 +0,,1 1 +0
