,LewN BBL,PROFEK BBL,sociablEE BBL,Jamppi BBL,MAGNUM BBL
nAts TL,,1 0 +1,,1 0 +1,1 0 +1
keiko TL,,,1 0 +1,0 1 -1,
Serial TL,1 1 +0,,1 0 +1,,0 1 -1
paTiTek TL,1 0 +1,1 0 +1,,,
kamo TL,4 2 +2,0 1 -1,,0 1 -1,0 1 -1
