,havoc FUR,heat FUR,raafa FUR,pryze FUR,Khalil FUR
artzin MIBR,3 2 +1,,,,
aspas MIBR,3 4 -1,,,0 1 -1,2 0 +2
Verno MIBR,1 0 +1,,,,
cortezia MIBR,1 1 +0,,,,
xenom MIBR,2 1 +1,,,,1 0 +1
