,havoc FUR,heat FUR,raafa FUR,pryze FUR,Khalil FUR
artzin MIBR,3 6 -3,4 3 +1,4 1 +3,4 4 +0,2 1 +1
aspas MIBR,4 5 -1,3 2 +1,3 1 +2,3 7 -4,2 1 +1
Verno MIBR,3 2 +1,2 7 -5,3 1 +2,3 2 +1,3 2 +1
cortezia MIBR,4 3 +1,4 3 +1,6 1 +5,3 4 -1,3 3 +0
xenom MIBR,4 2 +2,3 5 -2,3 1 +2,1 6 -5,5 1 +4
