,havoc FUR,heat FUR,raafa FUR,pryze FUR,Khalil FUR
artzin MIBR,1 2 -1,,0 1 -1,,0 1 -1
aspas MIBR,2 0 +2,,1 0 +1,1 0 +1,
Verno MIBR,2 1 +1,,,,
cortezia MIBR,0 1 -1,,1 0 +1,1 0 +1,
xenom MIBR,0 1 -1,,,,
