,havoc FUR,heat FUR,raafa FUR,pryze FUR,Khalil FUR
artzin MIBR,11 13 -2,4 6 -2,6 6 +0,11 10 +1,6 8 -2
aspas MIBR,15 7 +8,10 4 +6,15 4 +11,13 12 +1,10 6 +4
Verno MIBR,7 5 +2,14 11 +3,7 5 +2,7 5 +2,10 6 +4
cortezia MIBR,7 10 -3,7 9 -2,11 2 +9,7 5 +2,7 10 -3
xenom MIBR,9 6 +3,10 8 +2,9 4 +5,4 11 -7,10 6 +4
