,havoc FUR,heat FUR,raafa FUR,pryze FUR,Khalil FUR
artzin MIBR,5 5 +0,,0 1 -1,,0 1 -1
aspas MIBR,5 5 +0,1 0 +1,3 1 +2,1 2 -1,4 0 +4
Verno MIBR,3 2 +1,1 0 +1,1 0 +1,,0 1 -1
cortezia MIBR,1 3 -2,1 0 +1,1 0 +1,1 0 +1,
xenom MIBR,4 3 +1,0 1 -1,,,1 1 +0
