,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,,,1 0 +1,1 0 +1,0 1 -1
ZmjjKK EDG,1 0 +1,0 1 -1,,4 2 +2,2 1 +1
CHICHOO EDG,,,,,
S1Mon EDG,,,,1 0 +1,1 0 +1
Smoggy EDG,1 0 +1,,,,
