,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,,,,,
ZmjjKK EDG,2 0 +2,0 3 -3,1 3 -2,2 1 +1,1 2 -1
CHICHOO EDG,,,,0 1 -1,2 0 +2
S1Mon EDG,,,,,
Smoggy EDG,1 0 +1,1 0 +1,,,1 1 +0
