,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,10 16 -6,11 12 -1,14 13 +1,13 14 -1,11 14 -3
ZmjjKK EDG,20 11 +9,20 12 +8,26 18 +8,20 15 +5,25 16 +9
CHICHOO EDG,16 11 +5,21 8 +13,17 13 +4,14 21 -7,17 16 +1
S1Mon EDG,9 15 -6,14 9 +5,11 16 -5,15 14 +1,11 12 -1
Smoggy EDG,17 11 +6,11 17 -6,11 13 -2,17 8 +9,15 13 +2
