,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,2 4 -2,2 2 +0,2 2 +0,3 2 +1,3 1 +2
ZmjjKK EDG,6 1 +5,6 4 +2,4 5 -1,4 4 +0,4 3 +1
CHICHOO EDG,5 2 +3,5 1 +4,5 4 +1,6 4 +2,6 2 +4
S1Mon EDG,2 3 -1,3 0 +3,2 4 -2,1 5 -4,2 1 +1
Smoggy EDG,2 3 -1,4 4 +0,3 4 -1,2 2 +0,3 4 -1
