,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,2 4 -2,1 1 +0,1 2 -1,3 4 -1,1 4 -3
ZmjjKK EDG,3 4 -1,3 3 +0,3 2 +1,4 3 +1,9 3 +6
CHICHOO EDG,2 4 -2,4 1 +3,3 0 +3,1 6 -5,2 4 -2
S1Mon EDG,0 4 -4,2 0 +2,4 5 -1,4 3 +1,0 3 -3
Smoggy EDG,3 1 +2,1 4 -3,1 2 -1,2 3 -1,0 3 -3
