,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,3 6 -3,3 4 -1,3 3 +0,2 3 -1,1 4 -3
ZmjjKK EDG,4 3 +1,4 2 +2,6 6 +0,5 2 +3,5 5 +0
CHICHOO EDG,3 2 +1,5 3 +2,5 4 +1,3 4 -1,3 6 -3
S1Mon EDG,2 1 +1,3 7 -4,2 3 -1,4 3 +1,4 3 +1
Smoggy EDG,5 4 +1,2 4 -2,3 2 +1,3 2 +1,3 5 -2
