,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,3 0 +3,3 3 +0,2 4 -2,2 4 -2,4 3 +1
ZmjjKK EDG,4 3 +1,3 2 +1,8 3 +5,2 3 -1,2 2 +0
CHICHOO EDG,3 1 +2,5 2 +3,1 3 -2,1 7 -6,3 2 +1
S1Mon EDG,3 6 -3,4 1 +3,3 1 +2,4 3 +1,3 2 +1
Smoggy EDG,3 1 +2,2 2 +0,3 4 -1,7 0 +7,6 1 +5
