,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,1 3 -2,,1 0 +1,4 3 +1,3 3 +0
ZmjjKK EDG,3 2 +1,2 5 -3,6 6 +0,10 8 +2,5 5 +0
CHICHOO EDG,3 0 +3,,0 1 -1,0 4 -4,3 2 +1
S1Mon EDG,2 2 +0,0 1 -1,,4 0 +4,2 0 +2
Smoggy EDG,2 2 +0,1 1 +0,,0 1 -1,2 1 +1
