,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,,,,1 0 +1,2 0 +2
ZmjjKK EDG,,,3 1 +2,1 2 -1,0 1 -1
CHICHOO EDG,1 0 +1,,,0 3 -3,1 0 +1
S1Mon EDG,1 1 +0,,,2 0 +2,
Smoggy EDG,0 1 -1,,,,1 0 +1
