,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,1 3 -2,,,1 1 +0,0 1 -1
ZmjjKK EDG,0 1 -1,0 1 -1,2 0 +2,1 1 +0,2 1 +1
CHICHOO EDG,1 0 +1,,,,0 1 -1
S1Mon EDG,,,,,
Smoggy EDG,,,,0 1 -1,
