,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,,,,1 2 -1,1 1 +0
ZmjjKK EDG,0 1 -1,2 0 +2,0 2 -2,2 2 +0,
CHICHOO EDG,1 0 +1,,0 1 -1,,0 1 -1
S1Mon EDG,1 1 +0,0 1 -1,,1 0 +1,1 0 +1
Smoggy EDG,0 1 -1,0 1 -1,,,
