,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH,MiniBoo TH
nobody EDG,0 2 -2,2 2 +0,6 2 +4,3 1 +2,2 2 +0
ZmjjKK EDG,3 0 +3,4 1 +3,5 2 +3,5 3 +2,5 3 +2
CHICHOO EDG,3 2 +1,2 1 +1,3 2 +1,3 0 +3,3 2 +1
S1Mon EDG,2 1 +1,2 1 +1,0 3 -3,2 0 +2,2 3 -1
Smoggy EDG,4 2 +2,2 3 -1,1 1 +0,3 1 +2,3 0 +3
