,eeiu 100T,Asuna 100T,bang 100T,Boostio 100T,Cryocells 100T
Palla MIBR,,1 0 +1,0 1 -1,2 1 +1,1 1 +0
liazzi MIBR,,1 0 +1,,,
rich MIBR,,,,,3 0 +3
mazin MIBR,0 1 -1,,0 1 -1,1 1 +0,
artzin MIBR,,0 1 -1,1 1 +0,,
