,eeiu 100T,Asuna 100T,bang 100T,Boostio 100T,Cryocells 100T
Palla MIBR,1 2 -1,4 1 +3,3 4 -1,2 6 -4,4 3 +1
liazzi MIBR,1 2 -1,2 3 -1,1 3 -2,1 2 -1,1 6 -5
rich MIBR,4 1 +3,1 3 -2,3 1 +2,2 6 -4,7 2 +5
mazin MIBR,3 6 -3,1 2 -1,1 1 +0,2 3 -1,0 2 -2
artzin MIBR,0 6 -6,0 3 -3,3 3 +0,2 3 -1,0 2 -2
