,eeiu 100T,Asuna 100T,bang 100T,Boostio 100T,Cryocells 100T
Palla MIBR,0 6 -6,4 2 +2,7 4 +3,1 3 -2,3 1 +2
liazzi MIBR,2 5 -3,3 4 -1,1 4 -3,3 2 +1,4 1 +3
rich MIBR,1 5 -4,2 2 +0,0 2 -2,2 4 -2,2 3 -1
mazin MIBR,0 5 -5,0 3 -3,2 2 +0,3 2 +1,2 2 +0
artzin MIBR,2 5 -3,3 1 +2,3 3 +0,2 2 +0,2 5 -3
