,eeiu 100T,Asuna 100T,bang 100T,Boostio 100T,Cryocells 100T
Palla MIBR,1 0 +1,,,,0 1 -1
liazzi MIBR,,,,,0 1 -1
rich MIBR,,,,1 0 +1,1 1 +0
mazin MIBR,,,1 0 +1,,
artzin MIBR,,,,,0 2 -2
