,eeiu 100T,Asuna 100T,bang 100T,Boostio 100T,Cryocells 100T
Palla MIBR,1 8 -7,8 3 +5,10 8 +2,3 9 -6,7 4 +3
liazzi MIBR,3 7 -4,5 7 -2,2 7 -5,4 4 +0,5 7 -2
rich MIBR,5 6 -1,3 5 -2,3 3 +0,4 10 -6,9 5 +4
mazin MIBR,3 11 -8,1 5 -4,3 3 +0,5 5 +0,2 4 -2
artzin MIBR,2 11 -9,3 4 -1,6 6 +0,4 5 -1,2 7 -5
