,icy G2,leaf G2,valyn G2,trent G2,JonahP G2
kiNgg LEV,2 3 -1,4 2 +2,3 1 +2,4 4 +0,4 5 -1
C0M LEV,1 1 +0,1 4 -3,3 5 -2,3 2 +1,5 3 +2
Mazino LEV,4 7 -3,3 2 +1,3 3 +0,0 2 -2,3 6 -3
aspas LEV,4 3 +1,6 4 +2,2 0 +2,3 3 +0,2 4 -2
tex LEV,3 3 +0,5 3 +2,5 4 +1,3 2 +1,2 3 -1
