,icy G2,leaf G2,valyn G2,trent G2,JonahP G2
kiNgg LEV,,1 0 +1,,0 1 -1,1 0 +1
C0M LEV,,0 1 -1,1 1 +0,1 0 +1,1 1 +0
Mazino LEV,,1 1 +0,,,1 0 +1
aspas LEV,,2 1 +1,,1 0 +1,
tex LEV,,,3 0 +3,0 1 -1,0 1 -1
