,icy G2,leaf G2,valyn G2,trent G2,JonahP G2
kiNgg LEV,7 7 +0,8 2 +6,7 4 +3,9 4 +5,9 11 -2
C0M LEV,2 4 -2,1 7 -6,4 10 -6,5 5 +0,6 5 +1
Mazino LEV,6 10 -4,7 7 +0,4 7 -3,1 3 -2,5 9 -4
aspas LEV,8 5 +3,10 6 +4,8 4 +4,7 6 +1,6 6 +0
tex LEV,5 6 -1,6 6 +0,5 6 -1,5 4 +1,4 7 -3
