,icy G2,leaf G2,valyn G2,trent G2,JonahP G2
kiNgg LEV,5 4 +1,4 0 +4,4 3 +1,5 0 +5,5 6 -1
C0M LEV,1 3 -2,0 3 -3,1 5 -4,2 3 -1,1 2 -1
Mazino LEV,2 3 -1,4 5 -1,1 4 -3,1 1 +0,2 3 -1
aspas LEV,4 2 +2,4 2 +2,6 4 +2,4 3 +1,4 2 +2
tex LEV,2 3 -1,1 3 -2,0 2 -2,2 2 +0,2 4 -2
