,icy G2,leaf G2,valyn G2,trent G2,JonahP G2
kiNgg LEV,2 1 +1,1 0 +1,,2 1 +1,2 0 +2
C0M LEV,,0 1 -1,1 2 -1,2 0 +2,1 2 -1
Mazino LEV,,1 1 +0,1 0 +1,,1 0 +1
aspas LEV,0 1 -1,2 2 +0,0 1 -1,2 0 +2,2 0 +2
tex LEV,,0 1 -1,3 0 +3,1 1 +0,0 2 -2
