,Wild0reoo TS,n1zzy TS,invy TS,ZesBeeW TS,kellyS TS
Dambi NS,,0 1 -1,1 0 +1,4 0 +4,1 0 +1
Ivy NS,,1 0 +1,,,
Francis NS,,0 1 -1,,0 2 -2,2 0 +2
Persia NS,2 1 +1,,,0 1 -1,
Rb NS,,0 1 -1,1 0 +1,1 0 +1,1 0 +1
