,Wild0reoo TS,n1zzy TS,invy TS,ZesBeeW TS,kellyS TS
Dambi NS,5 2 +3,4 1 +3,5 2 +3,2 2 +0,5 2 +3
Ivy NS,5 1 +4,3 4 -1,0 3 -3,2 0 +2,2 0 +2
Francis NS,2 3 -1,1 3 -2,5 0 +5,3 1 +2,6 0 +6
Persia NS,0 1 -1,2 3 -1,2 0 +2,6 0 +6,0 2 -2
Rb NS,2 1 +1,3 2 +1,2 1 +1,1 1 +0,1 4 -3
