,Wild0reoo TS,n1zzy TS,invy TS,ZesBeeW TS,kellyS TS
Dambi NS,2 0 +2,0 1 -1,1 0 +1,,0 1 -1
Ivy NS,,0 1 -1,0 1 -1,,
Francis NS,,1 1 +0,1 0 +1,1 1 +0,
Persia NS,1 0 +1,1 0 +1,,1 2 -1,0 1 -1
Rb NS,2 0 +2,,1 1 +0,1 0 +1,
