,Wild0reoo TS,n1zzy TS,invy TS,ZesBeeW TS,kellyS TS
Dambi NS,0 1 -1,,0 1 -1,1 0 +1,4 1 +3
Ivy NS,,,,,1 0 +1
Francis NS,0 1 -1,,1 0 +1,1 0 +1,1 0 +1
Persia NS,,0 1 -1,,1 0 +1,
Rb NS,,,,0 1 -1,
