,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,,,3 1 +2,0 1 -1,0 1 -1
Kushy RRQ,,0 1 -1,0 4 -4,0 1 -1,0 1 -1
Monyet RRQ,,,1 1 +0,0 1 -1,
Jemkin RRQ,,1 0 +1,0 1 -1,0 4 -4,
xffero RRQ,,,,1 0 +1,0 1 -1
