,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,10 6 +4,8 6 +2,11 6 +5,11 8 +3,10 10 +0
Kushy RRQ,5 6 -1,8 6 +2,9 14 -5,6 10 -4,4 8 -4
Monyet RRQ,8 11 -3,11 5 +6,12 7 +5,8 11 -3,13 8 +5
Jemkin RRQ,11 3 +8,12 12 +0,8 6 +2,13 16 -3,13 5 +8
xffero RRQ,8 12 -4,8 6 +2,6 5 +1,13 7 +6,5 4 +1
