,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,3 1 +2,3 3 +0,4 2 +2,1 2 -1,3 2 +1
Kushy RRQ,4 3 +1,3 2 +1,6 2 +4,2 2 +0,0 3 -3
Monyet RRQ,4 3 +1,5 1 +4,1 3 -2,4 3 +1,5 2 +3
Jemkin RRQ,3 0 +3,2 2 +0,2 3 -1,3 6 -3,5 1 +4
xffero RRQ,2 3 -1,3 2 +1,2 2 +0,8 1 +7,3 1 +2
