,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,,,4 1 +3,2 2 +0,0 2 -2
Kushy RRQ,,0 1 -1,0 4 -4,2 2 +0,0 1 -1
Monyet RRQ,1 3 -2,,2 1 +1,3 3 +0,0 1 -1
Jemkin RRQ,2 1 +1,3 2 +1,4 2 +2,2 9 -7,1 0 +1
xffero RRQ,,2 0 +2,,2 0 +2,0 1 -1
