,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crazyguy RRQ,,1 Round 23 Foxy9 t3xture,1 Round 19 t3xture Munchkin Karon,1 Round 9 Ash Munchkin Foxy9 Karon,,,,,,,64,0,0
Kushy RRQ,,,,,,,,,,,30,6,0
xffero RRQ,,1 Round 13 Ash t3xture,1 Round 10 Ash Foxy9 t3xture,,,1 Round 10 t3xture,,,,,25,0,1
Monyet RRQ,,4 Round 8 Munchkin Karon Round 11 Munchkin Ash Round 17 Munchkin Foxy9 Round 19 Foxy9 Ash,1 Round 7 t3xture Ash Foxy9,,,,,,,,59,0,0
Jemkin RRQ,,2 Round 10 Munchkin Karon Round 12 t3xture Karon,1 Round 1 t3xture Ash Munchkin,1 Round 2 Munchkin Foxy9 t3xture Ash,,,,,,,56,0,2
Munchkin GEN,,3 Round 8 xffero Kushy Round 12 crazyguy Kushy Round 14 xffero Kushy,1 Round 1 xffero Monyet crazyguy,,,,,,,,40,0,0
t3xture GEN,,5 Round 3 Jemkin Kushy Round 4 xffero Monyet Round 11 xffero crazyguy Round 20 Monyet Kushy Round 23 Kushy Jemkin,,2 Round 5 Jemkin Monyet Kushy crazyguy Round 10 Jemkin crazyguy Monyet Kushy,,,,,,,71,1,0
Foxy9 GEN,,2 Round 4 Kushy Jemkin Round 6 Jemkin crazyguy,1 Round 15 Monyet xffero Jemkin,,,,,,,,55,0,0
Ash GEN,,4 Round 8 Monyet crazyguy Round 12 Jemkin xffero Round 14 Jemkin crazyguy Round 16 Jemkin Kushy,,,,,1 Round 8 crazyguy Jemkin,,,,49,6,0
Karon GEN,,3 Round 3 xffero crazyguy Round 9 Kushy xffero Round 16 Monyet xffero,1 Round 23 xffero Monyet crazyguy,,,,,,,,38,3,1
