,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,,,,1 1 +0,0 1 -1
Kushy RRQ,,,,,
Monyet RRQ,1 0 +1,,,2 2 +0,
Jemkin RRQ,1 0 +1,1 1 +0,1 0 +1,1 3 -2,1 0 +1
xffero RRQ,,1 0 +1,,1 0 +1,
