,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,,,1 0 +1,1 0 +1,
Kushy RRQ,,,,2 1 +1,
Monyet RRQ,0 3 -3,,1 0 +1,1 0 +1,0 1 -1
Jemkin RRQ,1 1 +0,1 1 +0,3 1 +2,1 2 -1,
xffero RRQ,,1 0 +1,,,
