,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,6 2 +4,1 2 -1,3 2 +1,3 4 -1,4 3 +1
Kushy RRQ,0 2 -2,3 1 +2,1 6 -5,2 5 -3,1 2 -1
Monyet RRQ,3 4 -1,3 2 +1,5 2 +3,1 5 -4,4 3 +1
Jemkin RRQ,4 1 +3,4 5 -1,4 1 +3,5 5 +0,1 3 -2
xffero RRQ,0 5 -5,3 2 +1,2 3 -1,2 4 -2,1 1 +0
