,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,,,,,
Kushy RRQ,,,0 1 -1,,
Monyet RRQ,,,,,
Jemkin RRQ,,,,0 1 -1,
xffero RRQ,2 0 +2,,1 0 +1,,
