,Karon GEN,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN
crazyguy RRQ,1 3 -2,4 1 +3,4 2 +2,7 2 +5,3 5 -2
Kushy RRQ,1 1 +0,2 3 -1,2 6 -4,2 3 -1,3 3 +0
Monyet RRQ,1 4 -3,3 2 +1,6 2 +4,3 3 +0,4 3 +1
Jemkin RRQ,4 2 +2,6 5 +1,2 2 +0,5 5 +0,7 1 +6
xffero RRQ,6 4 +2,2 2 +0,2 0 +2,3 2 +1,1 2 -1
