,heat FUR,Khalil FUR,pryze FUR,havoc FUR,raafa FUR
brawk NRG,1 5 -4,8 6 +2,9 5 +4,11 7 +4,6 3 +3
Ethan NRG,9 7 +2,10 1 +9,4 7 -3,6 7 -1,6 4 +2
FiNESSE NRG,3 7 -4,5 10 -5,4 4 +0,8 7 +1,12 6 +6
s0m NRG,14 4 +10,9 4 +5,8 8 +0,13 3 +10,5 5 +0
mada NRG,14 7 +7,8 9 -1,10 6 +4,9 7 +2,11 4 +7
