,heat FUR,Khalil FUR,pryze FUR,havoc FUR,raafa FUR
brawk NRG,0 2 -2,3 3 +0,5 2 +3,4 7 -3,2 2 +0
Ethan NRG,3 3 +0,3 1 +2,3 3 +0,1 5 -4,1 2 -1
FiNESSE NRG,2 5 -3,1 4 -3,1 3 -2,4 4 +0,7 2 +5
s0m NRG,6 2 +4,6 2 +4,2 5 -3,7 1 +6,4 3 +1
mada NRG,5 5 +0,1 2 -1,2 2 +0,1 5 -4,1 2 -1
