,heat FUR,Khalil FUR,pryze FUR,havoc FUR,raafa FUR
brawk NRG,1 1 +0,3 1 +2,3 1 +2,5 0 +5,2 1 +1
Ethan NRG,4 1 +3,4 0 +4,1 3 -2,2 2 +0,4 1 +3
FiNESSE NRG,0 1 -1,1 2 -1,,0 2 -2,3 2 +1
s0m NRG,4 1 +3,2 1 +1,3 2 +1,3 0 +3,0 1 -1
mada NRG,4 1 +3,2 2 +0,2 2 +0,4 1 +3,4 2 +2
