,heat FUR,Khalil FUR,pryze FUR,havoc FUR,raafa FUR
brawk NRG,,1 0 +1,,1 0 +1,
Ethan NRG,0 1 -1,1 0 +1,2 0 +2,2 3 -1,2 0 +2
FiNESSE NRG,0 1 -1,,,2 1 +1,3 0 +3
s0m NRG,2 2 +0,0 1 -1,,3 1 +2,1 0 +1
mada NRG,4 2 +2,0 2 -2,1 3 -2,6 3 +3,4 0 +4
