,heat FUR,Khalil FUR,pryze FUR,havoc FUR,raafa FUR
brawk NRG,,1 0 +1,,,
Ethan NRG,0 1 -1,,2 0 +2,1 2 -1,
FiNESSE NRG,0 1 -1,,,1 0 +1,2 0 +2
s0m NRG,1 1 +0,0 1 -1,,1 0 +1,1 0 +1
mada NRG,2 1 +1,0 1 -1,0 1 -1,0 1 -1,1 0 +1
