,heat FUR,Khalil FUR,pryze FUR,havoc FUR,raafa FUR
brawk NRG,,,,1 0 +1,
Ethan NRG,,1 0 +1,,1 1 +0,2 0 +2
FiNESSE NRG,,,,,1 0 +1
s0m NRG,,,,1 0 +1,
mada NRG,1 0 +1,,0 2 -2,2 1 +1,1 0 +1
