,heat FUR,Khalil FUR,pryze FUR,havoc FUR,raafa FUR
brawk NRG,,,,,
Ethan NRG,,,,,
FiNESSE NRG,,,,1 1 +0,
s0m NRG,1 1 +0,,,1 1 +0,
mada NRG,1 1 +0,0 1 -1,1 0 +1,4 1 +3,2 0 +2
