,silentzz 2G,pryze 2G,Zap 2G,gobera 2G,lz 2G
Mazino KRÜ,,,0 1 -1,,1 0 +1
Melser KRÜ,,,2 1 +1,0 1 -1,1 0 +1
keznit KRÜ,1 0 +1,0 1 -1,,0 1 -1,4 0 +4
Shyy KRÜ,1 0 +1,1 0 +1,,,
adverso KRÜ,,,,,
