,silentzz 2G,pryze 2G,Zap 2G,gobera 2G,lz 2G
Mazino KRÜ,7 3 +4,0 4 -4,8 3 +5,4 5 -1,4 3 +1
Melser KRÜ,6 3 +3,4 2 +2,7 2 +5,5 4 +1,6 3 +3
keznit KRÜ,8 3 +5,8 6 +2,5 2 +3,6 4 +2,6 1 +5
Shyy KRÜ,2 4 -2,9 3 +6,1 3 -2,5 5 +0,6 4 +2
adverso KRÜ,5 4 +1,3 4 -1,5 0 +5,4 5 -1,5 5 +0
