,silentzz 2G,pryze 2G,Zap 2G,gobera 2G,lz 2G
Mazino KRÜ,4 1 +3,0 3 -3,4 2 +2,2 2 +0,2 2 +0
Melser KRÜ,4 3 +1,1 1 +0,2 0 +2,2 2 +0,3 0 +3
keznit KRÜ,3 2 +1,4 4 +0,4 1 +3,4 1 +3,
Shyy KRÜ,0 2 -2,4 2 +2,0 2 -2,2 2 +0,5 2 +3
adverso KRÜ,3 2 +1,3 3 +0,3 0 +3,2 3 -1,3 3 +0
