,silentzz 2G,pryze 2G,Zap 2G,gobera 2G,lz 2G
Mazino KRÜ,3 2 +1,0 1 -1,4 1 +3,2 3 -1,2 1 +1
Melser KRÜ,2 0 +2,3 1 +2,5 2 +3,3 2 +1,3 3 +0
keznit KRÜ,5 1 +4,4 2 +2,1 1 +0,2 3 -1,6 1 +5
Shyy KRÜ,2 2 +0,5 1 +4,1 1 +0,3 3 +0,1 2 -1
adverso KRÜ,2 2 +0,0 1 -1,2 0 +2,2 2 +0,2 2 +0
