,Boaster FNC,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC
leaf G2,4 9 -5,3 2 +1,4 1 +3,1 6 -5,6 4 +2
jawgemo G2,1 3 -2,4 5 -1,2 3 -1,4 0 +4,2 7 -5
trent G2,4 4 +0,5 2 +3,3 1 +2,4 6 -2,3 3 +0
JonahP G2,3 2 +1,2 6 -4,3 3 +0,4 4 +0,2 2 +0
valyn G2,2 3 -1,2 5 -3,2 4 -2,3 4 -1,0 5 -5
